Parameter,delta,delta_conf
a0!181,0.063748721,0.005562781
a2!182,0.053571542,0.005906045
a3!183,0.163731034,0.007309865
b11!184,0.365109422,0.007389712
b12!185,0.03917966,0.004261263
b21!186,0.037406773,0.004320373
b22!187,0.072493186,0.005901038
b23!188,0.042142193,0.004223857
b32!189,0.035026444,0.004202393
b33!190,0.039829054,0.004489217
c1!191,0.046273612,0.005315238
c3!192,0.037270666,0.004536466
c4!193,0.037719383,0.004134125
cca0!194,0.038597589,0.004360491
damadj!195,0.037677086,0.00420879
dela!196,0.037828959,0.004293921
deland!198,0.041049244,0.004367051
dersig!197,0.038355459,0.00425142
dk!199,0.03846724,0.003959696
eland0!200,0.041149494,0.004806661
elasmu!201,0.060391634,0.006102417
eqmat!202,0.052591048,0.005370381
expcost2!203,0.036317515,0.004168499
fco22x!204,0.046202403,0.004880293
fex0!205,0.039457191,0.004311932
fex1!206,0.038855936,0.004659293
ga0!207,0.036710182,0.004460577
gama!208,0.064589283,0.005609141
gsigma0!209,0.038107794,0.004607896
k0!210,0.040408542,0.004190395
mat0!211,0.039049807,0.00444226
ml0!212,0.037616778,0.004302176
mu0!213,0.039513169,0.004216574
pbackrate!214,0.040207563,0.004499585
pbacktime0!215,0.040266313,0.00433033
pop0!216,0.041034964,0.00436641
popadj!217,0.039989811,0.004157884
popsym!218,0.045949082,0.005396654
prtp!219,0.052226754,0.005487602
scale1!220,0.039403092,0.004331903
scale2!221,0.040457638,0.004371776
sigma0!222,0.042363727,0.004448327
t2xco2!223,0.057801695,0.00608909
tatm0!224,0.037801198,0.00463241
tocean0!225,0.043279177,0.004452331
