,delta,delta_conf
cenl!199,0.280107794,0.008273634
 prtp,0.093310911,0.006976547
climatesensitivity!265,0.088047365,0.006077934
ceel!198,0.079514555,0.006371543
cebm!184,0.075244309,0.006443188
agcbm!36,0.069444984,0.007121085
agcbm!44,0.066585198,0.005916521
aglparq!78,0.06303516,0.005792551
aglparq!69,0.062075266,0.006740463
ch4add!200,0.059687386,0.005495707
 eta,0.054488003,0.006323277
aglparq!68,0.053496553,0.005390365
agcbm!35,0.052686906,0.005641499
cebm!194,0.049732787,0.005098043
cebm!182,0.049390935,0.00601673
agcbm!45,0.048435971,0.004848142
spbm!758,0.048195384,0.005181744
aglparq!66,0.047201752,0.005464868
aglparl!62,0.046639736,0.005183358
smch!751,0.044443728,0.004586584
hurrdamel!386,0.044415445,0.005091025
hebm!382,0.04401492,0.005333288
migrate!577,0.043995959,0.004892092
migrate!592,0.043534983,0.005326109
chmlbm!214,0.043372723,0.005347202
agrbm!90,0.04333145,0.005211482
wrnl!841,0.043324104,0.004979281
migrate!569,0.043294433,0.005058562
dlbm!294,0.043225248,0.004890829
wrbm!831,0.043181602,0.004913293
migrate!493,0.043041574,0.005065491
chmlbm!203,0.042928406,0.004735187
dvbm!320,0.042796149,0.004870301
migrate!591,0.042780498,0.004573401
migrate!447,0.042680006,0.00542589
migrate!593,0.042582343,0.005106865
hebm!375,0.042570008,0.005017554
dfch!278,0.042560529,0.004604675
aglparq!73,0.042543887,0.005256675
aceiadd!14,0.042527211,0.004231846
migrate!616,0.04232793,0.004634317
migrate!652,0.042136303,0.005061878
agcbm!41,0.042101588,0.006090997
migrate!601,0.04207738,0.004472677
migrate!504,0.042053855,0.004582213
taxmp!764,0.041922307,0.004908959
lifeco3!392,0.041781896,0.005241503
foremadd!364,0.041726062,0.004507305
migrate!598,0.041541652,0.005157429
ccpqbm!168,0.04150298,0.004649861
aglparq!71,0.041501983,0.004284435
wrel!840,0.041410311,0.004999038
pgadd!700,0.041371945,0.004548549
aglparq!72,0.041308039,0.004219973
aglparq!76,0.041194332,0.005473745
aglparq!75,0.041163944,0.004906369
ccmlbm!129,0.041162641,0.004423426
rqbm!733,0.04113463,0.00570907
aglparl!61,0.041104951,0.005577929
aeeiadd!31,0.041102481,0.004389639
dlbm!295,0.041065018,0.004178782
dfnl!283,0.041051174,0.004114098
terrco2sens!775,0.041027703,0.004560372
migrate!556,0.041014075,0.004789539
wrbm!837,0.041009989,0.005124261
migrate!434,0.040998129,0.005590879
migrate!612,0.04097602,0.00477301
migrate!505,0.040955204,0.003721642
dlbm!298,0.04082069,0.004232943
smch!747,0.040787194,0.004326483
